Title,Authors,Abstract,Link,publication
Measuringcancerevolution from the genome.,"Trevor A Graham, Andrea Sottoriva, Trevor A Graham, Andrea Sottoriva","The temporal dynamics of cancer evolution remain elusive, because it is impractical to longitudinally observe cancers unperturbed by treatment. Consequently, our knowledge of how cancers grow largely derives from inferences made from a single point in time - the endpoint in the cancer's evolution, when it is removed from the body and studied in the laboratory. Fortuitously however, the cancer genome, by virtue of ongoing mutations that uniquely mark clonal lineages within the tumour, provides a rich, yet surreptitious, record of cancer development. In this review, we describe how a cancer's genome can be analysed to reveal the temporal history of mutation and selection, and discuss why both selective and neutral evolution feature prominently in carcinogenesis. We argue that selection in cancer can only be properly studied once we have some understanding of what the absence of selection looks like. We review the data describing punctuated evolution in cancer, and reason that punctuated phenotype evolution is consistent with both gradual and punctuated genome evolution. We conclude that, to map and predict evolutionary trajectories during carcinogenesis, it is critical to better understand the relationship between genotype change and phenotype change. Copyright © 2016 Pathological Society of Great Britain and Ireland. Published by John Wiley & Sons, Ltd.",https://pubmed.ncbi.nlm.nih.gov//27741350/,2021
Cancerand cure: A critical analysis.,"P S Roy, B J Saikia, P S Roy, B J Saikia","Cancer is one of the most dreaded diseases of the 20th century and spreading further with continuance and increasing incidence in the 21st century. The situation is so alarming that every fourth person is having a lifetime risk of cancer. India registers more than 11 lakh new cases of cancer every year, whereas, this figure is above 14 million worldwide. Is cancer curable? The short answer to this question is ""Yes."" In fact, all cancers are curable if they are caught early enough. Cancer cells continue to grow unless one of four things occur: (1) The cancerous mass is removed surgically; (2) using chemotherapy or another type of cancer-specific medication, such as hormonal therapy; (3) using radiation therapy; or (4) the cancer cells shrink and disappear on their own.",https://pubmed.ncbi.nlm.nih.gov//28244479/,2022
Fieldcancerizationin breastcancer.,"Emanuela Gadaleta, Graeme J Thorn, Helen Ross-Adams, Louise J Jones, Claude Chelala, Emanuela Gadaleta, Graeme J Thorn, Helen Ross-Adams, Louise J Jones, Claude Chelala","Breast cancer affects one in seven women worldwide during their lifetime. Widespread mammographic screening programs and education campaigns allow for early detection of the disease, often during its asymptomatic phase. Current practice in treatment and recurrence monitoring is based primarily on pathological evaluations but can also encompass genomic evaluations, both of which focus on the primary tumor. Although breast cancer is one of the most studied cancers, patients still recur at a rate of up to 15% within the first 10 years post-surgery. Local recurrence was originally attributed to tumor cells contaminating histologically normal (HN) tissues beyond the surgical margin, but advances in technology have allowed for the identification of distinct aberrations that exist in the peri-tumoral tissues themselves. One leading theory to explain this phenomenon is the field cancerization theory. Under this hypothesis, tumors arise from a field of molecularly altered cells that create a permissive environment for malignant evolution, which can occur with or without morphological changes. The traditional histopathology paradigm dictates that molecular alterations are reflected in the tissue phenotype. However, the spectrum of inter-patient variability of normal breast tissue may obfuscate recognition of a cancerized field during routine diagnostics. In this review, we explore the concept of field cancerization focusing on HN peri-tumoral tissues: we present the pathological and molecular features of field cancerization within these tissues and discuss how the use of peri-tumoral tissues can affect research. Our observations suggest that pathological and molecular evaluations could be used synergistically to assess risk and guide the therapeutic management of patients. © 2022 The Authors. The Journal of Pathology published by John Wiley & Sons Ltd on behalf of The Pathological Society of Great Britain and Ireland.",https://pubmed.ncbi.nlm.nih.gov//35362092/,2020
Tumor cell metabolism:cancer'sAchilles' heel.,"Guido Kroemer, Jacques Pouyssegur, Guido Kroemer, Jacques Pouyssegur","The essential hallmarks of cancer are intertwined with an altered cancer cell-intrinsic metabolism, either as a consequence or as a cause. As an example, the resistance of cancer mitochondria against apoptosis-associated permeabilization and the altered contribution of these organelles to metabolism are closely related. Similarly, the constitutive activation of signaling cascades that stimulate cell growth has a profound impact on anabolic metabolism. Here, we review the peculiarities of tumor cell metabolism that might be taken advantage of for cancer treatment. Specifically, we discuss the alterations in signal transduction pathways and/or enzymatic machineries that account for metabolic reprogramming of transformed cells.",https://pubmed.ncbi.nlm.nih.gov//18538731/,2018
What IsCancer?,"Daniel M Hausman, Daniel M Hausman","This essay focuses on themes in Explaining Cancer: Finding Order in Disorder (2018) by Anya Plutynski, a monograph that has important things to say about both the peculiarities of cancers and our theories about them. Cancer's agents of destruction are human cells that have been recruited and to some extent transformed into pathological organisms or the building blocks of tumors. Cancers both undermine and exploit mechanisms of multicellular organization, and understanding them gives rise to difficult philosophical problems. In addition to sketching Plutynski's discussion of these problems, this essay defends Christopher Boorse's account of disease from Plutynski's criticisms, and it expresses some qualms about her treatment of scientific explanation.",https://pubmed.ncbi.nlm.nih.gov//31761807/,2016
Mappingcancerorigins.,"Richard J Gilbertson, Richard J Gilbertson","Cancer comprises a bewildering assortment of diseases that kill 7.5 million people each year. Poor understanding of cancer's diversity currently thwarts our goal of a cure for every patient, but recent integration of genomic and stem cell technologies promises a route through this impasse.",https://pubmed.ncbi.nlm.nih.gov//21458665/,2017
Epidemiology ofCancer.,"Stephen M Schwartz, Stephen M Schwartz","Background:Cancers are a large and heterogeneous group of malignant tumors that collectively accounted for approximately 600 000 US deaths in 2020; only heart disease claimed more lives. A large amount of knowledge has accumulated regarding the epidemiology of most cancer types, including their causes.Content:The cancer types most frequently diagnosed among adults in most high-income countries are lung, colorectal, female breast, cutaneous melanoma, and prostate. In general cancer incidence and mortality is very low in children and adolescents, rising exponentially with increasing age during adulthood. There is marked international variation in the incidence of most cancers. The most important causes of cancer are tobacco use (primarily cigarette use), excess alcohol consumption, obesity, lack of physical activity, diets low in fruits and vegetables, infectious agents, and sun exposure. Early detection can reduce the chances that a person will die of cancers of the female breast, uterine cervix, colon and rectum, lung, and prostate.Summary:Although the most common cancers in the United States continue to have a substantial impact on public health, they are caused in whole or part by factors over which people and governments have control through choices they make. Among these are tobacco and alcohol use, obesity, diets low in fruits and vegetables and lack of physical activity, and sun exposure. Thus, a very large proportion of cancer's impact could be ameliorated if more people avoided these exposures.",https://pubmed.ncbi.nlm.nih.gov//38175589/,2017
New methods in the diagnosis ofcancerand gene therapy ofcancerbased on nanoparticles.,"M A Zaimy, N Saffarzadeh, A Mohammadi, H Pourghadamyari, P Izadi, A Sarli, L K Moghaddam, S R Paschepari, H Azizi, S Torkamandi, J Tavakkoly-Bazzaz, M A Zaimy, N Saffarzadeh, A Mohammadi, H Pourghadamyari, P Izadi, A Sarli, L K Moghaddam, S R Paschepari, H Azizi, S Torkamandi, J Tavakkoly-Bazzaz","Cancer is one of the leading cause of death in the world with the prevalence of >10 million mortalities annually. Current cancer treatments include surgical intervention, radiation, and taking chemotherapeutic drugs, which often kill the healthy cells and result in toxicity in patients. Therefore, researchers are looking for ways to be able to eliminate just cancerous cells. Intra-tumor heterogeneity of cancerous cells is the main obstacle on the way of an effective cancer treatment. However, better comprehension of molecular basis of tumor and the advent of new diagnostic technologies can help to improve the treatment of various cancers. Therefore, study of epigenetic changes, gene expression of cancerous cells and employing methods that enable us to correct or minimize these changes is critically important. In this paper, we will review the recent advanced strategies being used in the field of cancer research.",https://pubmed.ncbi.nlm.nih.gov//28574057/,2016
Cancer'snew normal.,"Elie Dolgin, Elie Dolgin",No abstract available,https://pubmed.ncbi.nlm.nih.gov//35121920/,2022
Addressingcancer'sgrand challenges.,"Asher Mullard, Asher Mullard",No abstract available,https://pubmed.ncbi.nlm.nih.gov//33173229/,2019
[Lucy'scancer(s): A prehistorical origin?].,"G Chene, G Lamblin, K Le Bail-Carval, E Beaufils, P Chabert, P Gaucherand, G Mellier, Y Coppens, G Chene, G Lamblin, K Le Bail-Carval, E Beaufils, P Chabert, P Gaucherand, G Mellier, Y Coppens","Objectives:The recent discovery of the earliest hominin cancer, a 1.7-million-year-old osteosarcoma from South Africa has raised the question of the origin of cancer and its determinants. We aimed to determine whether malignant and benign tumors exist in the past societies.Methods:A review of literature using Medline database and Google about benign and malignant tumors in prehistory and antiquity. Only cases with morphological and paraclinical analysis were included. The following keywords were used: cancer; paleopathology; malignant neoplasia; benign tumor; leiomyoma; myoma; breast cancer; mummies; soft tissue tumor; Antiquity.Results:Thirty-five articles were found in wich there were 34 malignant tumors, 10 benign tumors and 11 gynecological benign tumors.Conclusions:The fact that there were some malignant tumors, even few tumors and probably underdiagnosed, in the past may be evidence that cancer is not only a disease of the modern world. Cancer may be indeed a moving target: we have likely predisposing genes to cancer inherited from our ancestors. The malignant disease could therefore appear because of our modern lifestyle (carcinogens and risk factors related to the modern industrial society).",https://pubmed.ncbi.nlm.nih.gov//27839715/,2021
"Signaling, metabolism, andcancer: An important relationship for therapeutic intervention.","Mostafa Vaghari-Tabari, Gordon A Ferns, Durdi Qujeq, Ali Nosrati Andevari, Zahra Sabahi, Soheila Moein, Mostafa Vaghari-Tabari, Gordon A Ferns, Durdi Qujeq, Ali Nosrati Andevari, Zahra Sabahi, Soheila Moein","In cancerous cells, significant changes occur in the activity of signaling pathways affecting a wide range of cellular activities ranging from growth and proliferation to apoptosis, invasiveness, and metastasis. Extensive changes also happen with respect to the metabolism of a cancerous cell encompassing a wide range of functions that include: nutrient acquisition, biosynthesis of macromolecules, and energy generation. These changes are important and some therapeutic approaches for treating cancers have focused on targeting the metabolism of cancerous cells. Oncogenes and tumor suppressor genes have a significant effect on the metabolism of cells. There appears to be a close interaction between metabolism and the signaling pathways in a cancerous cell, in which the interaction provides the metabolic needs of a cancerous cell for uncontrolled proliferation, resistance to apoptosis, and metastasis. In this review, we have reviewed the latest findings in this regard and briefly review the most recent research findings regarding targeting the metabolism of cancer cells as a therapeutic approach for treatment of cancer.",https://pubmed.ncbi.nlm.nih.gov//33580511/,2017
Tertiary lymphoid structures are critical forcancerprognosis and therapeutic response.,"Qianqian Zhang, Suhui Wu, Qianqian Zhang, Suhui Wu","Tertiary lymphoid structures (TLSs) are ectopic lymphocyte aggregates that form at sites of chronic inflammation, including cancers, in non-lymphoid tissues. Although the formation of TLSs is similar to that of secondary lymphoid organs, the pathogenic factors leading to TLS formation in cancerous tissues and the mechanisms underlying the role of these structures in the intra-tumoral adaptive antitumor immune response are not fully understood. The presence of TLSs may impact patient prognosis and treatment outcomes. This review examines the current understanding of TLSs in cancers, including their composition and formation as well as their potential to predict prognosis and therapeutic efficacy. We also summarize strategies to induce TLS formation for cancer treatment.",https://pubmed.ncbi.nlm.nih.gov//36713409/,2020
Cancer'ssensory experience.,"Anna Dart, Anna Dart",No abstract available,https://pubmed.ncbi.nlm.nih.gov//35732743/,2020
Cancerprevention: from 1727 to milestones of the past 100 years.,"Scott M Lippman, Ernest T Hawk, Scott M Lippman, Ernest T Hawk","The rich, multidisciplinary history of cancer prevention recounted here begins with surgical and workplace recommendations of the 1700s and ends with 2009 results of the enormous (35,535 men) Selenium and Vitamin E [prostate] Cancer Prevention Trial (SELECT). This history comprises a fascinating array of chemopreventive, vaccine, surgical, and behavioral science research, both preclinical and clinical. Preclinical milestones of cancer prevention include the 1913 and 1916 mouse studies by Lathrop and Loeb of cancer development associated with pregnancy or cancer prevention through castration (oophorectomy), preventing chemically induced mouse carcinogenesis as early as 1929, energy restriction studies in the 1940s, the 1950s discoveries and later molecular characterizations of field cancerization and multistep carcinogenesis, and the effects of angiogenesis inhibition in genetically engineered mice reported in 2009. The extraordinary panoply of clinical research includes numerous large and smaller chemoprevention studies of nutritional supplements, other dietary approaches, a Bacillus Calmette-Guérin trial in 1976, molecular-targeted agents, and agents to prevent infection-related cancers such as hepatitis B virus vaccine to prevent liver cancer in 1984. Clinical surgical prevention includes removal of intraepithelial neoplasia detected by screening (including Pap testing developed in 1929 and culposcopy for cervical premalignancy and colonoscopy and polypectomy to prevent colorectal cancer begun in the 1960s) and prophylactic surgeries, such as in Lynch syndrome patients begun in 1977. Behavioral studies include smoking cessation and control beginning in the 1950s, obesity control rooted in studies of 1841, and genetic-counseling and cancer-survivorship studies. This history of pioneering events may help in better understanding who we are and what we want to achieve as cancer prevention researchers and practitioners.",https://pubmed.ncbi.nlm.nih.gov//19491253/,2020
